system:time_start,savi
"Dec 16, 2018",0.414
"Dec 21, 2018",0.397
"Dec 26, 2018",0.406
"Dec 31, 2018",0.46
"Jan 5, 2019",0.359
"Jan 20, 2019",0.453
"Jan 25, 2019",0.35
"Feb 4, 2019",0.482
"Feb 9, 2019",0.482
"Feb 19, 2019",0.4
"Feb 24, 2019",0.46
"Mar 1, 2019",0.449
"Mar 6, 2019",0.415
"Mar 11, 2019",0.289
"Mar 16, 2019",0.323
"Mar 21, 2019",0.24
"Mar 26, 2019",0.237
"Mar 31, 2019",0.179
"Apr 5, 2019",0.142
"Apr 10, 2019",0.111
"Apr 20, 2019",0.106
"Apr 25, 2019",0.096
"Apr 30, 2019",0.102
"May 5, 2019",0.119
"May 10, 2019",0.095
"May 25, 2019",0.102
"May 30, 2019",0.104
"Jun 4, 2019",0.102
"Jun 9, 2019",0.106
"Jun 14, 2019",0.106
"Jun 19, 2019",0.108
"Jun 29, 2019",0.108
"Jul 14, 2019",0.125
"Aug 23, 2019",0.414
"Aug 28, 2019",0.319
"Sep 12, 2019",0.307
"Sep 17, 2019",0.246
"Oct 2, 2019",0.135
"Oct 12, 2019",0.172
"Oct 17, 2019",0.13
"Oct 27, 2019",0.106
"Nov 6, 2019",0.109
"Nov 11, 2019",0.072
"Nov 16, 2019",0.106
"Dec 1, 2019",0.243
"Jan 5, 2020",0.351
"Jan 10, 2020",0.442
"Jan 25, 2020",0.456
"Jan 30, 2020",0.476
"Feb 4, 2020",0.467
"Feb 9, 2020",0.458
"Feb 14, 2020",0.467
"Feb 24, 2020",0.354
"Feb 29, 2020",0.349
"Mar 5, 2020",0.307
"Mar 10, 2020",0.396
"Mar 15, 2020",0.345
"Mar 25, 2020",0.245
"Mar 30, 2020",0.215
"Apr 4, 2020",0.177
"Apr 19, 2020",0.132
"Apr 24, 2020",0.119
"Apr 29, 2020",0.103
"May 9, 2020",0.111
"May 14, 2020",0.101
"May 24, 2020",0.114
"May 29, 2020",0.095
"Jun 3, 2020",0.11
"Jun 8, 2020",0.132
"Jun 18, 2020",0.134
"Jun 23, 2020",0.172
"Jun 28, 2020",0.181
"Jul 3, 2020",0.182
"Jul 13, 2020",0.143
"Aug 2, 2020",0.341
"Sep 6, 2020",0.211
"Sep 11, 2020",0.281
"Sep 16, 2020",0.231
"Sep 21, 2020",0.148
"Oct 1, 2020",0.198
"Oct 6, 2020",0.192
"Oct 16, 2020",0.139
"Oct 21, 2020",0.132
"Oct 26, 2020",0.126
"Oct 31, 2020",0.119
"Nov 5, 2020",0.114
"Nov 10, 2020",0.067
"Nov 15, 2020",0.082
"Nov 20, 2020",0.161
"Nov 30, 2020",0.222
"Dec 5, 2020",0.252
"Dec 10, 2020",0.271
"Dec 25, 2020",0.388
"Jan 14, 2021",0.464
"Jan 29, 2021",0.464
"Feb 3, 2021",0.466
"Feb 8, 2021",0.465
"Feb 18, 2021",0.396
"Feb 23, 2021",0.437
"Feb 28, 2021",0.397
"Mar 5, 2021",0.406
"Mar 10, 2021",0.295
"Mar 20, 2021",0.21
"Mar 30, 2021",0.143
"Apr 4, 2021",0.129
"Apr 9, 2021",0.122
"Apr 14, 2021",0.104
"Apr 19, 2021",0.105
"Apr 24, 2021",0.114
"Apr 29, 2021",0.093
"May 4, 2021",0.099
"May 9, 2021",0.099
"May 14, 2021",0.09
"May 24, 2021",0.11
"May 29, 2021",0.096
"Jun 3, 2021",0.135
"Jun 8, 2021",0.122
"Jun 23, 2021",0.147
"Jun 28, 2021",0.153
"Jul 8, 2021",0.164
"Aug 12, 2021",0.318
"Aug 17, 2021",0.288
"Aug 27, 2021",0.259
"Oct 6, 2021",0.164
"Oct 11, 2021",0.178
"Oct 16, 2021",0.15
"Oct 21, 2021",0.154
"Oct 26, 2021",0.124
"Oct 31, 2021",0.125
"Nov 10, 2021",0.071
"Nov 15, 2021",0.1
"Nov 20, 2021",0.173
"Nov 25, 2021",0.233
"Dec 10, 2021",0.343
"Dec 15, 2021",0.309
"Dec 20, 2021",0.449
"Dec 25, 2021",0.368
"Dec 30, 2021",0.444
"Jan 29, 2022",0.487
"Feb 8, 2022",0.431
"Feb 13, 2022",0.472
"Feb 18, 2022",0.44
"Feb 28, 2022",0.439
"Mar 5, 2022",0.402
"Mar 10, 2022",0.347
"Mar 15, 2022",0.277
"Mar 20, 2022",0.227
"Mar 25, 2022",0.186
"Mar 30, 2022",0.153
"Apr 4, 2022",0.158
"Apr 9, 2022",0.142
"Apr 14, 2022",0.136
"Apr 19, 2022",0.133
"Apr 24, 2022",0.119
"Apr 29, 2022",0.124
"May 4, 2022",0.108
"May 9, 2022",0.123
"May 14, 2022",0.121
"May 19, 2022",0.121
"May 24, 2022",0.111
"May 29, 2022",0.105
"Jun 3, 2022",0.12
"Jun 8, 2022",0.124
"Jun 23, 2022",0.161
"Jul 8, 2022",0.214
"Jul 18, 2022",0.298
"Jul 18, 2022",0.278
"Aug 27, 2022",0.314
"Sep 1, 2022",0.231
"Sep 6, 2022",0.305
"Sep 26, 2022",0.231
"Oct 1, 2022",0.222
"Oct 16, 2022",0.19
"Oct 21, 2022",0.174
"Oct 26, 2022",0.16
"Oct 31, 2022",0.129
"Nov 5, 2022",0.119
"Nov 10, 2022",0.139
"Nov 15, 2022",0.162
"Nov 20, 2022",0.207
"Nov 25, 2022",0.259
"Nov 30, 2022",0.278
"Dec 5, 2022",0.34
